City,Chinese,Province,Prefecture,Founded
Hong Kong,香港特别行政区,autonomous,none,1997-07-01
Macau,澳门特别行政区,autonomous,none,1999-12-20
Beijing,北京市,municipal,none,1949-10-01
Chongqing,重庆市,municipal,none,1997-03-14
Shanghai,上海市,municipal,none,1949-10-01
Tianjin,天津市,municipal,none,1967-01-02
Hefei,合肥市,Anhui,direct administration,1949-10-01
Fuzhou,福州市,Fujian,direct administration,1949-10-01
Lanzhou,兰州市,Gansu,direct administration,1949-10-01
Guangzhou,广州市,Guangdong,direct administration,1954-06-19
Nanning,南宁市,Guangxi,direct administration,1961-12-23
Guiyang,贵阳市,Guizhou,direct administration,1949-10-01
Haikou,海口市,Hainan,direct administration,1986-05-31
Shijiazhuang,石家庄市,Hebei,direct administration,1978-03-11
Harbin,哈尔滨市,Heilongjiang,direct administration,1954-06-19
Zhengzhou,郑州市,Henan,direct administration,1949-10-01
Wuhan,武汉市,Hubei,direct administration,1954-06-19
Changsha,长沙市,Hunan,direct administration,1949-10-01
Hohhot,呼和浩特市,Inner Mongolia,direct administration,1950-01-18
Nanjing,南京市,Jiangsu,direct administration,1953-12-17
Nanchang,南昌市,Jiangxi,direct administration,1949-10-01
Changchun,长春市,Jilin,direct administration,1954-06-19
Shenyang,沈阳市,Liaoning,direct administration,1954-06-19
Yinchuan,银川市,Ningxia,direct administration,1958-08-11
Xining,西宁市,Qinghai,direct administration,1956-07-14
Xi'an,西安市,Shaanxi,direct administration,1954-06-19
Jinan,济南市,Shandong,direct administration,1949-10-01
Taiyuan,太原市,Shanxi,direct administration,1949-10-01
Chengdu,成都市,Sichuan,direct administration,1949-10-01
Lhasa,拉萨市,Tibet,direct administration,1960-01-07
Ürümqi,乌鲁木齐市,Xinjiang,direct administration,1949-10-01
Kunming,昆明市,Yunnan,direct administration,1949-10-01
Hangzhou,杭州市,Zhejiang,direct administration,1949-10-01
